              	  IP Range	  Live Nodes
192.168.2.0/24	         1	           2

IP Address   	Protocol  	Open Ports
192.168.2.1  	tcp       	[53, 80, 515, 9100]
192.168.2.7  	tcp       	[8008, 8009, 8443]
192.168.2.51 	tcp       	[443]
192.168.2.62 	tcp       	[80, 515, 9100]
192.168.2.89 	tcp       	[22, 8443]
192.168.2.111	tcp       	[80, 135, 139, 443, 445, 3389, 5357]
192.168.2.117	tcp       	[8008, 8009, 8443]
192.168.2.120	tcp       	[135, 139, 443, 445, 5357]
192.168.2.172	tcp       	[3000]
192.168.2.210	tcp       	[5000]
192.168.2.230	tcp       	[80]
192.168.2.240	tcp       	[80, 443, 515, 631, 8080, 9100]
